430.5581, 4.1593, -5.9139, -7.2861
430.5631, 4.2502, -5.8566, -7.3100
430.5681, 4.2358, -5.9378, -7.3147
430.5731, 4.1307, -5.9044, -7.3769
430.5781, 4.2024, -5.8805, -7.3721
430.5832, 4.1641, -5.8327, -7.3578
430.5882, 4.2741, -5.8805, -7.2861
430.5932, 4.1785, -5.8709, -7.2621
430.5982, 4.2167, -5.9474, -7.3434
430.6032, 4.2215, -5.8518, -7.3243
430.6082, 4.1498, -5.8327, -7.3195
430.6133, 4.1976, -5.8805, -7.3147
430.6183, 4.2215, -5.7848, -7.3339
430.6233, 4.2024, -5.8852, -7.2813
430.6283, 4.1737, -5.8327, -7.3052
430.6334, 4.1976, -5.8279, -7.3769
430.6384, 4.2836, -5.8900, -7.3578
430.6434, 4.2741, -5.8709, -7.4295
430.6484, 4.1832, -5.9426, -7.3100
430.6534, 4.2167, -5.8757, -7.3721
430.6584, 4.1354, -5.8661, -7.3434
430.6635, 4.1832, -5.8661, -7.3578
430.6685, 4.1928, -5.8279, -7.4151
430.6735, 4.2071, -5.8852, -7.2621
430.6785, 4.2263, -5.8374, -7.3530
430.6835, 4.1976, -5.9092, -7.2717
430.6886, 4.2311, -5.8613, -7.3147
430.6936, 4.2597, -5.8135, -7.2239
430.6986, 4.1976, -5.8231, -7.3386
430.7036, 4.1498, -5.8374, -7.3100
430.7086, 4.1593, -5.8661, -7.3434
430.7137, 4.1546, -5.9331, -7.2669
430.7187, 4.2358, -5.8374, -7.3578
430.7237, 4.2119, -5.8900, -7.2908
430.7287, 4.2071, -5.8900, -7.2908
430.7337, 4.1593, -5.9044, -7.3434
430.7388, 4.1976, -5.8948, -7.3100
430.7438, 4.2167, -5.7992, -7.2956
430.7488, 4.2215, -5.9139, -7.2908
430.7538, 4.1928, -5.8757, -7.4486
430.7588, 4.2167, -5.8470, -7.3243
430.7639, 4.2454, -5.9139, -7.2669
430.7689, 4.2406, -5.8135, -7.3434
430.7739, 4.1832, -5.8470, -7.3386
430.7789, 4.1785, -5.8661, -7.2765
430.7839, 4.1880, -5.8900, -7.4199
430.7890, 4.1928, -5.8470, -7.2287
430.7940, 4.1498, -5.8135, -7.3625
430.7990, 4.2454, -5.8900, -7.3147
430.8040, 4.2980, -5.8805, -7.3482
430.8090, 4.2311, -5.8613, -7.3004
